Base Year,Year,State,Kind of Economic Activity,Sub Kind of Economic Activity,Value RM Million,Status Data,,
2005,2005,Johor,Agriculture,Agriculture,6189,f,,
2005,2006,Johor,Agriculture,Agriculture,6654,f,,
2005,2007,Johor,Agriculture,Agriculture,6349,f,,
2005,2008,Johor,Agriculture,Agriculture,7171,f,,
2005,2009,Johor,Agriculture,Agriculture,7448,f,,
2005,2010,Johor,Agriculture,Agriculture,7598,f,,
2005,2011,Johor,Agriculture,Agriculture,8135,f,,
2005,2012,Johor,Agriculture,Agriculture,8499,e,,
2005,2013,Johor,Agriculture,Agriculture,8749,p,,
2005,2005,Johor,Mining and Quarrying,Mining and Quarrying,51,f,,
2005,2006,Johor,Mining and Quarrying,Mining and Quarrying,48,f,,
2005,2007,Johor,Mining and Quarrying,Mining and Quarrying,50,f,,
2005,2008,Johor,Mining and Quarrying,Mining and Quarrying,54,f,,
2005,2009,Johor,Mining and Quarrying,Mining and Quarrying,59,f,,
2005,2010,Johor,Mining and Quarrying,Mining and Quarrying,68,f,,
2005,2011,Johor,Mining and Quarrying,Mining and Quarrying,71,f,,
2005,2012,Johor,Mining and Quarrying,Mining and Quarrying,84,e,,
2005,2013,Johor,Mining and Quarrying,Mining and Quarrying,96,p,,
2005,2005,Johor,Manufacturing,Manufacturing,19314,f,,
2005,2006,Johor,Manufacturing,Manufacturing,20066,f,,
2005,2007,Johor,Manufacturing,Manufacturing,20663,f,,
2005,2008,Johor,Manufacturing,Manufacturing,20028,f,,
2005,2009,Johor,Manufacturing,Manufacturing,17650,f,,
2005,2010,Johor,Manufacturing,Manufacturing,21037,f,,
2005,2011,Johor,Manufacturing,Manufacturing,21995,f,,
2005,2012,Johor,Manufacturing,Manufacturing,23336,e,,
2005,2013,Johor,Manufacturing,Manufacturing,24405,p,,
2005,2005,Johor,Construction,Construction,1671,f,,
2005,2006,Johor,Construction,Construction,1568,f,,
2005,2007,Johor,Construction,Construction,1578,f,,
2005,2008,Johor,Construction,Construction,1597,f,,
2005,2009,Johor,Construction,Construction,1817,f,,
2005,2010,Johor,Construction,Construction,2045,f,,
2005,2011,Johor,Construction,Construction,2029,f,,
2005,2012,Johor,Construction,Construction,2397,e,,
2005,2013,Johor,Construction,Construction,2591,p,,
2005,2005,Johor,Services,"Utilities, Transport, Storage and Communication",5122,f,,
2005,2006,Johor,Services,"Utilities, Transport, Storage and Communication",5431,f,,
2005,2007,Johor,Services,"Utilities, Transport, Storage and Communication",5839,f,,
2005,2008,Johor,Services,"Utilities, Transport, Storage and Communication",6091,f,,
2005,2009,Johor,Services,"Utilities, Transport, Storage and Communication",6168,f,,
2005,2010,Johor,Services,"Utilities, Transport, Storage and Communication",6751,f,,
2005,2011,Johor,Services,"Utilities, Transport, Storage and Communication",7297,f,,
2005,2012,Johor,Services,"Utilities, Transport, Storage and Communication",7898,e,,
2005,2013,Johor,Services,"Utilities, Transport, Storage and Communication",8222,p,,
2005,2005,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",4739,f,,
2005,2006,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",5092,f,,
2005,2007,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",5812,f,,
2005,2008,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",6595,f,,
2005,2009,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",6633,f,,
2005,2010,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",7181,f,,
2005,2011,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",7682,f,,
2005,2012,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",8012,e,,
2005,2013,Johor,Services,"Wholesale and Retail Trade, Accommodation and Restaurants",8451,p,,
2005,2005,Johor,Services,"Finance and Insurance, Real Estate and Business Services",6491,f,,
2005,2006,Johor,Services,"Finance and Insurance, Real Estate and Business Services",6795,f,,
2005,2007,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7251,f,,
2005,2008,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7868,f,,
2005,2009,Johor,Services,"Finance and Insurance, Real Estate and Business Services",7739,f,,
2005,2010,Johor,Services,"Finance and Insurance, Real Estate and Business Services",8074,f,,
2005,2011,Johor,Services,"Finance and Insurance, Real Estate and Business Services",8630,f,,
2005,2012,Johor,Services,"Finance and Insurance, Real Estate and Business Services",9120,e,,
2005,2013,Johor,Services,"Finance and Insurance, Real Estate and Business Services",9370,p,,
2005,2005,Johor,Services,Other Services,2497,f,,
2005,2006,Johor,Services,Other Services,2531,f,,
2005,2007,Johor,Services,Other Services,2598,f,,
2005,2008,Johor,Services,Other Services,2685,f,,
2005,2009,Johor,Services,Other Services,2765,f,,
2005,2010,Johor,Services,Other Services,2905,f,,
2005,2011,Johor,Services,Other Services,3097,f,,
2005,2012,Johor,Services,Other Services,3208,e,,
2005,2013,Johor,Services,Other Services,3299,p,,
2005,2005,Johor,Services,Government Services,3257,f,,
2005,2006,Johor,Services,Government Services,3632,f,,
2005,2007,Johor,Services,Government Services,3804,f,,
2005,2008,Johor,Services,Government Services,4058,f,,
2005,2009,Johor,Services,Government Services,4223,f,,
2005,2010,Johor,Services,Government Services,4326,f,,
2005,2011,Johor,Services,Government Services,4937,f,,
2005,2012,Johor,Services,Government Services,5544,e,,
2005,2013,Johor,Services,Government Services,5815,p,,
2005,2005,Johor,plus: Import Duties,plus: Import Duties,729,f,,
2005,2006,Johor,plus: Import Duties,plus: Import Duties,720,f,,
2005,2007,Johor,plus: Import Duties,plus: Import Duties,740,f,,
2005,2008,Johor,plus: Import Duties,plus: Import Duties,844,f,,
