year,state,industry,employed
1982,Johor,"Agriculture, forestry, livestock and fishing",225.2
1983,Johor,"Agriculture, forestry, livestock and fishing",220.6
1984,Johor,"Agriculture, forestry, livestock and fishing",218.8
1985,Johor,"Agriculture, forestry, livestock and fishing",224
1986,Johor,"Agriculture, forestry, livestock and fishing",229.3
1987,Johor,"Agriculture, forestry, livestock and fishing",247.3
1988,Johor,"Agriculture, forestry, livestock and fishing",252.5
1989,Johor,"Agriculture, forestry, livestock and fishing",242.9
1990,Johor,"Agriculture, forestry, livestock and fishing",238.6
1992,Johor,"Agriculture, forestry, livestock and fishing",181
1993,Johor,"Agriculture, forestry, livestock and fishing",171
1995,Johor,"Agriculture, forestry, livestock and fishing",147.1
1996,Johor,"Agriculture, forestry, livestock and fishing",156.4
1997,Johor,"Agriculture, forestry, livestock and fishing",158.7
1998,Johor,"Agriculture, forestry, livestock and fishing",167.1
1999,Johor,"Agriculture, forestry, livestock and fishing",149.3
2000,Johor,"Agriculture, forestry, livestock and fishing",159.6
2001,Johor,"Agriculture, hunting and forestry",132.5
2002,Johor,"Agriculture, hunting and forestry",127.4
2003,Johor,"Agriculture, hunting and forestry",141.5
2004,Johor,"Agriculture, hunting and forestry",128.5
2005,Johor,"Agriculture, hunting and forestry",115.8
2006,Johor,"Agriculture, hunting and forestry",117.1
2007,Johor,"Agriculture, hunting and forestry",121.7
2008,Johor,"Agriculture, hunting and forestry",132.4
2009,Johor,"Agriculture, hunting and forestry",108.3
2010,Johor,"Agriculture, forestry and fishing",115.8
2011,Johor,"Agriculture, forestry and fishing",108
2012,Johor,"Agriculture, forestry and fishing",122.8
2013,Johor,"Agriculture, forestry and fishing",134.4
2014,Johor,"Agriculture, forestry and fishing",141.7
2015,Johor,"Agriculture, forestry and fishing",141.5
2016,Johor,"Agriculture, forestry and fishing",101.7
2017,Johor,"Agriculture, forestry and fishing",121.3
2018,Johor,"Agriculture, forestry and fishing",129.2
2019,Johor,"Agriculture, forestry and fishing",132.5
2020,Johor,"Agriculture, forestry and fishing",127.8
2021,Johor,"Agriculture, forestry and fishing",161
1982,Kedah,"Agriculture, forestry, livestock and fishing",197.8
1983,Kedah,"Agriculture, forestry, livestock and fishing",191.6
1984,Kedah,"Agriculture, forestry, livestock and fishing",195.9
1985,Kedah,"Agriculture, forestry, livestock and fishing",188.9
1986,Kedah,"Agriculture, forestry, livestock and fishing",180.7
1987,Kedah,"Agriculture, forestry, livestock and fishing",179.5
1988,Kedah,"Agriculture, forestry, livestock and fishing",187.4
1989,Kedah,"Agriculture, forestry, livestock and fishing",172.9
1990,Kedah,"Agriculture, forestry, livestock and fishing",158.9
1992,Kedah,"Agriculture, forestry, livestock and fishing",143.2
1993,Kedah,"Agriculture, forestry, livestock and fishing",134.5
1995,Kedah,"Agriculture, forestry, livestock and fishing",143.2
1996,Kedah,"Agriculture, forestry, livestock and fishing",147.1
