"Johor,"
"date", "spi12"
"01/01/1901", "-99"
"02/01/1901", "-99"
"03/01/1901", "-99"
"04/01/1901", "-99"
"05/01/1901", "-99"
"06/01/1901", "-99"
"07/01/1901", "-99"
"08/01/1901", "-99"
"09/01/1901", "-99"
"10/01/1901", "-99"
"11/01/1901", "-99"
"12/01/1901", "-1.53"
"01/01/1902", "-0.81"
"02/01/1902", "-0.49"
"03/01/1902", "-0.29"
"04/01/1902", "0.01"
"05/01/1902", "0.1"
"06/01/1902", "-0.07"
"07/01/1902", "-0.32"
"08/01/1902", "-0.39"
"09/01/1902", "-0.39"
"10/01/1902", "-0.08"
"11/01/1902", "-0.14"
"12/01/1902", "0.28"
"01/01/1903", "0.42"
"02/01/1903", "0.36"
"03/01/1903", "0.33"
"04/01/1903", "0.09"
"05/01/1903", "0.06"
"06/01/1903", "0.07"
"07/01/1903", "0.23"
"08/01/1903", "0.71"
"09/01/1903", "0.74"
"10/01/1903", "0.36"
"11/01/1903", "-0.03"
"12/01/1903", "-0.43"
"01/01/1904", "-0.17"
"02/01/1904", "-0.51"
"03/01/1904", "-0.74"
"04/01/1904", "-0.63"
"05/01/1904", "-0.95"
"06/01/1904", "-1.01"
"07/01/1904", "-0.79"
"08/01/1904", "-1.09"
"09/01/1904", "-0.97"
"10/01/1904", "-0.8"
"11/01/1904", "-0.75"
"12/01/1904", "-0.66"
"01/01/1905", "-1.77"
"02/01/1905", "-1.45"
"03/01/1905", "-1.22"
"04/01/1905", "-1.24"
"05/01/1905", "-0.6"
"06/01/1905", "-0.5"
"07/01/1905", "-0.51"
"08/01/1905", "-0.42"
"09/01/1905", "-0.47"
"10/01/1905", "-0.46"
"11/01/1905", "-0.11"
"12/01/1905", "-0.03"
"01/01/1906", "0.4"
"02/01/1906", "0.39"
"03/01/1906", "0.68"
"04/01/1906", "0.68"
"05/01/1906", "0.42"
"06/01/1906", "0.8"
"07/01/1906", "0.62"
"08/01/1906", "0.74"
"09/01/1906", "0.68"
"10/01/1906", "0.86"
"11/01/1906", "0.46"
"12/01/1906", "1.19"
"01/01/1907", "0.7"
"02/01/1907", "0.52"
"03/01/1907", "0.37"
"04/01/1907", "0.25"
"05/01/1907", "0.15"
"06/01/1907", "0.05"
"07/01/1907", "0.21"
"08/01/1907", "-0.39"
"09/01/1907", "-0.43"
"10/01/1907", "-0.37"
"11/01/1907", "-0.2"
"12/01/1907", "-0.9"
"01/01/1908", "-0.81"
"02/01/1908", "-0.54"
"03/01/1908", "-0.51"
"04/01/1908", "-0.36"
"05/01/1908", "-0.49"
"06/01/1908", "-0.61"
"07/01/1908", "-0.86"
"08/01/1908", "-0.6"
"09/01/1908", "-0.33"
"10/01/1908", "-0.45"
"11/01/1908", "-0.39"
"12/01/1908", "-0.21"
"01/01/1909", "0.51"
"02/01/1909", "0.67"
"03/01/1909", "0.91"
"04/01/1909", "1.06"
"05/01/1909", "1.08"
"06/01/1909", "1.2"
"07/01/1909", "1.17"
"08/01/1909", "1.48"
"09/01/1909", "1.16"
"10/01/1909", "0.91"
"11/01/1909", "0.8"
"12/01/1909", "0.32"
"01/01/1910", "-0.26"
"02/01/1910", "0.07"
"03/01/1910", "-0.06"
"04/01/1910", "-0.46"
"05/01/1910", "-0.54"
"06/01/1910", "-0.69"
"07/01/1910", "-0.58"
"08/01/1910", "-0.42"
"09/01/1910", "-0.21"
"10/01/1910", "0.04"
"11/01/1910", "-0.18"
"12/01/1910", "0.16"
"01/01/1911", "0.5"
"02/01/1911", "-0.47"
"03/01/1911", "-0.87"
"04/01/1911", "-0.81"
"05/01/1911", "-0.41"
"06/01/1911", "-0.82"
"07/01/1911", "-1.07"
"08/01/1911", "-1.51"
"09/01/1911", "-1.35"
"10/01/1911", "-1.07"
"11/01/1911", "-0.17"
"12/01/1911", "-0.06"
"01/01/1912", "-0.89"
"02/01/1912", "0.04"
"03/01/1912", "-0.13"
"04/01/1912", "0"
"05/01/1912", "-0.06"
"06/01/1912", "0.39"
"07/01/1912", "0.56"
"08/01/1912", "0.66"
"09/01/1912", "0.51"
"10/01/1912", "0.44"
"11/01/1912", "-0.09"
"12/01/1912", "0.07"
"01/01/1913", "1.43"
"02/01/1913", "0.94"
"03/01/1913", "1.82"
"04/01/1913", "2"
"05/01/1913", "2.03"
"06/01/1913", "2.32"
"07/01/1913", "2.29"
"08/01/1913", "2.03"
"09/01/1913", "2.13"
"10/01/1913", "1.86"
"11/01/1913", "2.29"
"12/01/1913", "2"
"01/01/1914", "2.34"
"02/01/1914", "2.16"
"03/01/1914", "1.68"
"04/01/1914", "1.91"
"05/01/1914", "1.66"
"06/01/1914", "1.41"
"07/01/1914", "1.47"
"08/01/1914", "1.4"
"09/01/1914", "1.09"
"10/01/1914", "0.81"
"11/01/1914", "0.22"
"12/01/1914", "0.07"
"01/01/1915", "-1.11"
"02/01/1915", "-1.05"
"03/01/1915", "-1.24"
"04/01/1915", "-1.56"
"05/01/1915", "-1.54"
"06/01/1915", "-1.56"
"07/01/1915", "-1.13"
"08/01/1915", "-0.72"
"09/01/1915", "-0.4"
"10/01/1915", "-0.23"
"11/01/1915", "0.08"
"12/01/1915", "0.26"
"01/01/1916", "-0.03"
"02/01/1916", "-0.34"
"03/01/1916", "0.2"
"04/01/1916", "-0.01"
"05/01/1916", "0.32"
"06/01/1916", "0.13"
"07/01/1916", "0.28"
"08/01/1916", "0.57"
"09/01/1916", "0.27"
"10/01/1916", "0.13"
"11/01/1916", "0.01"
"12/01/1916", "-0.43"
"01/01/1917", "0.53"
"02/01/1917", "1.38"
"03/01/1917", "1.5"
"04/01/1917", "1.51"
